EntityID,LEA Name,County,Total: Total,"Local, Intermediate, State: Total",Total: M&O - Operations,"Local, Intermediate, State: M&O - Operations",Total: M&O - Other,"Local, Intermediate, State: M&O - Other",Total: M&O and CSF & IIF - Operations,"Local, Intermediate, State: M&O and CSF & IIF - Operations",Total: M&O and CSF & IIF - Other,"Local, Intermediate, State: M&O and CSF & IIF - Other",Total Property Revenue,Total Students,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent SPED,Percent ELL,Percent Poverty,Percent Non-White,ELL Grouping,Non-White Grouping,Poverty Grouping,Black Grouping,Hispanic Grouping,SPED Grouping,Per-Pupil Revenue: Total,Per-Pupil Revenue: Maintenance & Operations,Per-Pupil Property Revenue,Property Revenue Quartile,Property Tax Rate
4514,Salome Consolidated Elementary District,La Paz,1307003.2,1050051.7,862862,862862,444141.2,187189.7,937373,937373,369630.2,112678.7,26575721,113,0,0,0.771428571,0.228571429,0.150442478,0.371681416,0.511627907,0.771428571,Quartile 4,Quartile 3,Quartile 4,"Quartiles 1, 2, & 3",Quartile 4,Quartile 3,9292.49292,8295.336283,235183.3717,Quartile 4,2.2898
4515,Bicentennial Union High School District,La Paz,2028186.06,1654120.15,1433757,1433757,594429.06,220363.15,1509199,1509199,518987.06,144921.15,118239949,123,0,0,0.638655462,0.361344538,0.203252033,0,0.099678457,0.638655462,Quartiles 1 & 2,Quartile 3,Quartile 1,"Quartiles 1, 2, & 3",Quartile 3,Quartile 4,13448.1313,12269.91057,961300.3984,Quartile 4,1.2243
4516,East Valley Institute of Technology,Maricopa,51884770,51046001,41889559,41889559,9995211,9156442,43480446,43480446,8404324,7565555,18599219922,1093,0.012808783,0.028362306,0.308325709,0.614821592,NA,0,NA,0.385178408,Quartiles 1 & 2,Quartile 2,NA,"Quartiles 1, 2, & 3",Quartile 2,NA,46702.65416,39780.82891,17016669.65,Quartile 4,0.1
10386,Coconino County Accommodation School District,Coconino,3161329,2855249,2633369,2633369,527960,221880,2730285,2730285,431044,124964,0,154,0,0,0.209150327,0.137254902,0.155844156,0,NA,0.862745098,Quartiles 1 & 2,Quartile 3,NA,"Quartiles 1, 2, & 3",Quartile 2,Quartile 3,18540.57792,17729.12338,0,Quartile 1,0
78786,Northern Arizona Vocational Institute of Technology,Navajo,5736983,5736983,4789295,4789295,947688,947688,4941025,4941025,795958,795958,1431906429,16,0,0,0,1,NA,0,NA,0,Quartiles 1 & 2,Quartile 1,NA,"Quartiles 1, 2, & 3",Quartile 1,NA,358561.4375,308814.0625,89494151.81,Quartile 4,0.05
79226,Benson Unified School District,Cochise,13374368.23,12213525.81,8664068.06,8664068.06,4710300.17,3549457.75,9426116.91,9426116.91,3948251.32,2787408.9,71896173,1289,0.008668243,0.017336485,0.279747833,0.671394799,0.154383243,0.013188518,0.274754683,0.328605201,Quartiles 1 & 2,Quartile 1,Quartile 3,"Quartiles 1, 2, & 3",Quartile 2,Quartile 3,9475.194577,7312.73616,55776.7052,Quartile 2,8.4872
79379,Yavapai Accommodation School District,Yavapai,1447691,1411507,1309811,1309811,137880,101696,1365530,1365530,82161,45977,0,93,0,0,0.351648352,0.648351648,0.23655914,0,NA,0.351648352,Quartiles 1 & 2,Quartile 1,NA,"Quartiles 1, 2, & 3",Quartile 2,Quartile 4,15177.49462,14683.11828,0,Quartile 1,0
79381,Coconino Association for Vocation Industry and Technology,Coconino,2733455,2731179,2065159,2065159,668296,666020,2096276,2096276,637179,634903,1488033969,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
79385,Central Arizona Valley Institute of Technology,Pinal,6411237,6359986,3406476,3406476,3004761,2953510,3626079,3626079,2785158,2733907,1481338672,31,0,0,1,0,NA,0,NA,1,Quartiles 1 & 2,Quartile 4,NA,"Quartiles 1, 2, & 3",Quartile 4,NA,205160.8387,116970.2903,47785118.45,Quartile 4,0.05
79387,Gila Institute for Technology,Graham,2609845,2587127,1927517,1927517,682328,659610,2002373,2002373,607472,584754,611832827,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
